date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:22	19926/19926	---MCZ	200	added ('OK')	text/html	etag:%22d2ea4aa0287d7613485b41bc5197e24c-ssl-df%22	https://cryptooapp.netlify.app/temp/index.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/index.html	(from )
16:33:22	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1540891964-ssl-df	https://cryptooapp.netlify.app/robots.txt		(from )
16:33:23	31048/31048	---MCZ	200	added ('OK')	text/css	etag:%22b031f41ebc09f5401d0846cdb75a19fc-ssl-df%22	https://cryptooapp.netlify.app/temp/css/font-awesome.min.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/font-awesome.min.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:24	23848/23848	---M-Z	200	added ('OK')	text/css	etag:%22e0cfac347c1c9e83b914a92ac17ba26b-ssl-df%22	https://cryptooapp.netlify.app/temp/css/animate.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/animate.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:24	12891/12891	---M-Z	200	added ('OK')	text/css	etag:%220bfc06fc051f89b270b1dc9098ee29c7-ssl-df%22	https://cryptooapp.netlify.app/temp/css/cryptocoins.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/cryptocoins.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:25	2534/2534	---M-Z	200	added ('OK')	text/css	etag:%22105561b257c3b722aa9a0429a7f981d3-ssl-df%22	https://cryptooapp.netlify.app/temp/plugins/c3-chart/c3.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/plugins/c3-chart/c3.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:26	69040/69040	---MCZ	200	added ('OK')	text/css	etag:%223df4d9a8376623883fec90fe09b0da1a-ssl-df%22	https://cryptooapp.netlify.app/temp/css/global.style.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/global.style.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:27	19820/19820	---MCZ	200	added ('OK')	text/css	etag:%222e2a2c9075da641219ba55df2c77e5e7-ssl-df%22	https://cryptooapp.netlify.app/temp/css/swiper.min.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/swiper.min.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:27	201/201	---M--	200	added ('OK')	text/css	etag:%22115a5345c32c7cc8f46582fba2b4d346-ssl%22	https://cryptooapp.netlify.app/temp/css/jqcandlestick.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/jqcandlestick.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:29	171451/171451	---MCZ	200	added ('OK')	text/css	etag:%225244ec1b92673b464fe6476d53033dc0-ssl-df%22	https://cryptooapp.netlify.app/temp/css/bootstrap.min.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/css/bootstrap.min.css	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:29	1932/1932	---M-Z	200	added ('OK')	text/css	etag:%222aa0e687f11ecc387eca610d650df550-ssl-df%22	https://cryptooapp.netlify.app/temp/plugins/turbo-slider/turbo.css	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/plugins/turbo-slider/turbo.css	(from https://cryptooapp.netlify.app/temp/index.html)
